Date Category,Period,Time Category,$/kWh,Solar Production (kWh),Home Usage (kWh),Cost ,Net Grid Energy(kWh),Cumulative Solar Production (kWh),Cumulative Home Usage (kWh),Cumulative Net Grid Energy (kWh),Accumulative Cost
Weekend,"Sunday, 9/01/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0.01,0.86,$0.04,0.85,0.01,0.86,0.85,$0.04
Weekend,"Sunday, 9/01/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0.01,0.67,$0.03,0.66,0.02,1.53,1.51,$0.07
Weekend,"Sunday, 9/01/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0.01,0.84,$0.04,0.83,0.03,2.37,2.34,$0.11
Weekend,"Sunday, 9/01/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0.01,1.31,$0.06,1.3,0.04,3.68,3.64,$0.17
Weekend,"Sunday, 9/01/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0.01,1.09,$0.05,1.08,0.05,4.77,4.72,$0.22
Weekend,"Sunday, 9/01/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0.01,1.07,$0.05,1.06,0.06,5.84,5.78,$0.26
Weekend,"Sunday, 9/01/2024 - 6:00am - 7:00am",Super Off-Peak,$0.0451,0.01,0.94,$0.04,0.93,0.07,6.78,6.71,$0.31
Weekend,"Sunday, 9/01/2024 - 7:00am - 8:00am",Super Off-Peak,$0.0451,0.22,0.77,$0.03,0.55,0.29,7.55,7.26,$0.34
Weekend,"Sunday, 9/01/2024 - 8:00am - 9:00am",Super Off-Peak,$0.0451,0.65,0.71,$0.03,0.06,0.94,8.26,7.32,$0.37
Weekend,"Sunday, 9/01/2024 - 9:00am - 10:00am",Super Off-Peak,$0.0451,1.69,0.8,$0.04,-0.89,2.63,9.06,6.43,$0.41
Weekend,"Sunday, 9/01/2024 - 10:00am - 11:00am",Super Off-Peak,$0.0451,2.93,1.22,$0.06,-1.71,5.56,10.28,4.72,$0.46
Weekend,"Sunday, 9/01/2024 - 11:00am - 12:00pm",Super Off-Peak,$0.0451,3.79,1.9,$0.09,-1.89,9.35,12.18,2.83,$0.55
Weekend,"Sunday, 9/01/2024 - 12:00pm - 1:00pm",Super Off-Peak,$0.0451,4.31,1.65,$0.07,-2.66,13.66,13.83,0.17,$0.62
Weekend,"Sunday, 9/01/2024 - 1:00pm - 2:00pm",Super Off-Peak,$0.0451,4.56,2.22,$0.10,-2.34,18.22,16.05,-2.17,$0.72
Weekend,"Sunday, 9/01/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.48,2.08,$0.30,-2.4,22.7,18.13,-4.57,$1.03
Weekend,"Sunday, 9/01/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,4.08,2.24,$0.33,-1.84,26.78,20.37,-6.41,$1.35
Weekend,"Sunday, 9/01/2024 - 4:00pm - 5:00pm",Peak,$0.4699,3.01,2.51,$1.18,-0.5,29.79,22.88,-6.91,$2.53
Weekend,"Sunday, 9/01/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.87,1.62,$0.76,-0.25,31.66,24.5,-7.16,$3.29
Weekend,"Sunday, 9/01/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.32,1.26,$0.59,0.94,31.98,25.76,-6.22,$3.88
Weekend,"Sunday, 9/01/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,1.81,$0.85,1.8,31.99,27.57,-4.42,$4.73
Weekend,"Sunday, 9/01/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,1.66,$0.78,1.65,32,29.23,-2.77,$5.51
Weekend,"Sunday, 9/01/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,1.51,$0.22,1.5,32.01,30.74,-1.27,$5.73
Weekend,"Sunday, 9/01/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,1.02,$0.15,1.01,32.02,31.76,-0.26,$5.88
Weekend,"Sunday, 9/01/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,0.98,$0.14,0.97,32.03,32.74,0.71,$6.02
Weekday,"Monday, 9/02/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0.01,0.63,$0.03,0.62,32.04,33.37,1.33,$6.05
Weekday,"Monday, 9/02/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0.01,0.68,$0.03,0.67,32.05,34.05,2,$6.08
Weekday,"Monday, 9/02/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0.01,0.72,$0.03,0.71,32.06,34.77,2.71,$6.12
Weekday,"Monday, 9/02/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0.01,0.7,$0.03,0.69,32.07,35.47,3.4,$6.15
Weekday,"Monday, 9/02/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0.01,1.57,$0.07,1.56,32.08,37.04,4.96,$6.22
Weekday,"Monday, 9/02/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0,0.98,$0.04,0.98,32.08,38.02,5.94,$6.26
Weekday,"Monday, 9/02/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0.02,0.96,$0.14,0.94,32.1,38.98,6.88,$6.40
Weekday,"Monday, 9/02/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0.22,0.73,$0.11,0.51,32.32,39.71,7.39,$6.51
Weekday,"Monday, 9/02/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0.8,0.76,$0.11,-0.04,33.12,40.47,7.35,$6.62
Weekday,"Monday, 9/02/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,1.93,0.97,$0.14,-0.96,35.05,41.44,6.39,$6.76
Weekday,"Monday, 9/02/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,2.91,1.28,$0.19,-1.63,37.96,42.72,4.76,$6.94
Weekday,"Monday, 9/02/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,3.74,1.5,$0.22,-2.24,41.7,44.22,2.52,$7.16
Weekday,"Monday, 9/02/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,4.28,2.13,$0.31,-2.15,45.98,46.35,0.37,$7.47
Weekday,"Monday, 9/02/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,4.57,3.33,$0.48,-1.24,50.55,49.68,-0.87,$7.96
Weekday,"Monday, 9/02/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.47,3.01,$0.44,-1.46,55.02,52.69,-2.33,$8.39
Weekday,"Monday, 9/02/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,4.04,3,$0.44,-1.04,59.06,55.69,-3.37,$8.83
Weekday,"Monday, 9/02/2024 - 4:00pm - 5:00pm",Peak,$0.4699,2.99,3.4,$1.60,0.41,62.05,59.09,-2.96,$10.43
Weekday,"Monday, 9/02/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.85,3,$1.41,1.15,63.9,62.09,-1.81,$11.84
Weekday,"Monday, 9/02/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.49,2.8,$1.32,2.31,64.39,64.89,0.5,$13.15
Weekday,"Monday, 9/02/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,1.67,$0.78,1.66,64.4,66.56,2.16,$13.94
Weekday,"Monday, 9/02/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,0.95,$0.45,0.94,64.41,67.51,3.1,$14.38
Weekday,"Monday, 9/02/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,2.12,$0.31,2.11,64.42,69.63,5.21,$14.69
Weekday,"Monday, 9/02/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,2.09,$0.30,2.08,64.43,71.72,7.29,$14.99
Weekday,"Monday, 9/02/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,1.7,$0.25,1.69,64.44,73.42,8.98,$15.24
Weekday,"Tuesday, 9/03/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0.01,2.1,$0.99,2.09,64.45,75.52,11.07,$16.23
Weekday,"Tuesday, 9/03/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0.01,1.68,$0.79,1.67,64.46,77.2,12.74,$17.02
Weekday,"Tuesday, 9/03/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0.01,1.87,$0.88,1.86,64.47,79.07,14.6,$17.89
Weekday,"Tuesday, 9/03/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0.01,1.72,$0.81,1.71,64.48,80.79,16.31,$18.70
Weekday,"Tuesday, 9/03/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0,1.63,$0.77,1.63,64.48,82.42,17.94,$19.47
Weekday,"Tuesday, 9/03/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0.01,1.21,$0.57,1.2,64.49,83.63,19.14,$20.04
Weekday,"Tuesday, 9/03/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0.04,1.58,$0.23,1.54,64.53,85.21,20.68,$20.27
Weekday,"Tuesday, 9/03/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0.48,1.52,$0.22,1.04,65.01,86.73,21.72,$20.49
Weekday,"Tuesday, 9/03/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0.93,1.66,$0.24,0.73,65.94,88.39,22.45,$20.73
Weekday,"Tuesday, 9/03/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,1.79,2.2,$0.32,0.41,67.73,90.59,22.86,$21.05
Weekday,"Tuesday, 9/03/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,2.86,2.24,$0.33,-0.62,70.59,92.83,22.24,$21.37
Weekday,"Tuesday, 9/03/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,3.73,1.97,$0.29,-1.76,74.32,94.8,20.48,$21.66
Weekday,"Tuesday, 9/03/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,4.28,2.39,$0.35,-1.89,78.6,97.19,18.59,$22.01
Weekday,"Tuesday, 9/03/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,4.56,1.95,$0.28,-2.61,83.16,99.14,15.98,$22.29
Weekday,"Tuesday, 9/03/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.5,2.11,$0.31,-2.39,87.66,101.25,13.59,$22.60
Weekday,"Tuesday, 9/03/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,4.05,2.82,$0.41,-1.23,91.71,104.07,12.36,$23.01
Weekday,"Tuesday, 9/03/2024 - 4:00pm - 5:00pm",Peak,$0.4699,2.98,2.84,$1.33,-0.14,94.69,106.91,12.22,$24.34
Weekday,"Tuesday, 9/03/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.84,1.87,$0.88,0.03,96.53,108.78,12.25,$25.22
Weekday,"Tuesday, 9/03/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.45,1.43,$0.67,0.98,96.98,110.21,13.23,$25.89
Weekday,"Tuesday, 9/03/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,2.22,$1.04,2.21,96.99,112.43,15.44,$26.93
Weekday,"Tuesday, 9/03/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,3.01,$1.41,3,97,115.44,18.44,$28.35
Weekday,"Tuesday, 9/03/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,1.56,$0.23,1.55,97.01,117,19.99,$28.57
Weekday,"Tuesday, 9/03/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,1.66,$0.24,1.65,97.02,118.66,21.64,$28.82
Weekday,"Tuesday, 9/03/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,1.35,$0.20,1.34,97.03,120.01,22.98,$29.01
Weekday,"Wednesday, 9/04/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0.01,1.12,$0.53,1.11,97.04,121.13,24.09,$29.54
Weekday,"Wednesday, 9/04/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0.01,1.18,$0.55,1.17,97.05,122.31,25.26,$30.09
Weekday,"Wednesday, 9/04/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0.01,1.37,$0.64,1.36,97.06,123.68,26.62,$30.74
Weekday,"Wednesday, 9/04/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0,1.48,$0.70,1.48,97.06,125.16,28.1,$31.43
Weekday,"Wednesday, 9/04/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0.01,1.46,$0.69,1.45,97.07,126.62,29.55,$32.12
Weekday,"Wednesday, 9/04/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0.01,1.43,$0.67,1.42,97.08,128.05,30.97,$32.79
Weekday,"Wednesday, 9/04/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0.05,1.26,$0.18,1.21,97.13,129.31,32.18,$32.97
Weekday,"Wednesday, 9/04/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0.48,1.31,$0.19,0.83,97.61,130.62,33.01,$33.16
Weekday,"Wednesday, 9/04/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0.91,1.52,$0.22,0.61,98.52,132.14,33.62,$33.38
Weekday,"Wednesday, 9/04/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,1.75,1.52,$0.22,-0.23,100.27,133.66,33.39,$33.60
Weekday,"Wednesday, 9/04/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,2.83,1.54,$0.22,-1.29,103.1,135.2,32.1,$33.83
Weekday,"Wednesday, 9/04/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,3.7,1.4,$0.20,-2.3,106.8,136.6,29.8,$34.03
Weekday,"Wednesday, 9/04/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,4.25,1.48,$0.21,-2.77,111.05,138.08,27.03,$34.25
Weekday,"Wednesday, 9/04/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,4.51,1.83,$0.27,-2.68,115.56,139.91,24.35,$34.51
Weekday,"Wednesday, 9/04/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.42,1.51,$0.22,-2.91,119.98,141.42,21.44,$34.73
Weekday,"Wednesday, 9/04/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,3.96,1.81,$0.26,-2.15,123.94,143.23,19.29,$34.99
Weekday,"Wednesday, 9/04/2024 - 4:00pm - 5:00pm",Peak,$0.4699,2.87,1.93,$0.91,-0.94,126.81,145.16,18.35,$35.90
Weekday,"Wednesday, 9/04/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.75,3.05,$1.43,1.3,128.56,148.21,19.65,$37.33
Weekday,"Wednesday, 9/04/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.42,2.82,$1.33,2.4,128.98,151.03,22.05,$38.66
Weekday,"Wednesday, 9/04/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,1.93,$0.91,1.92,128.99,152.96,23.97,$39.57
Weekday,"Wednesday, 9/04/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,1.74,$0.82,1.73,129,154.7,25.7,$40.38
Weekday,"Wednesday, 9/04/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,2.32,$0.34,2.31,129.01,157.02,28.01,$40.72
Weekday,"Wednesday, 9/04/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,1.91,$0.28,1.9,129.02,158.93,29.91,$41.00
Weekday,"Wednesday, 9/04/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,1.88,$0.27,1.87,129.03,160.81,31.78,$41.27
Weekday,"Thursday, 9/05/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0.01,1.73,$0.81,1.72,129.04,162.54,33.5,$42.08
Weekday,"Thursday, 9/05/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0.01,2.03,$0.95,2.02,129.05,164.57,35.52,$43.04
Weekday,"Thursday, 9/05/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0.01,1.82,$0.86,1.81,129.06,166.39,37.33,$43.89
Weekday,"Thursday, 9/05/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0.01,1.43,$0.67,1.42,129.07,167.82,38.75,$44.56
Weekday,"Thursday, 9/05/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0,1.31,$0.62,1.31,129.07,169.13,40.06,$45.18
Weekday,"Thursday, 9/05/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0.01,1.24,$0.58,1.23,129.08,170.37,41.29,$45.76
Weekday,"Thursday, 9/05/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0.04,1.27,$0.18,1.23,129.12,171.64,42.52,$45.95
Weekday,"Thursday, 9/05/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0.47,1.29,$0.19,0.82,129.59,172.93,43.34,$46.13
Weekday,"Thursday, 9/05/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0.88,1.45,$0.21,0.57,130.47,174.38,43.91,$46.34
Weekday,"Thursday, 9/05/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,1.71,1.38,$0.20,-0.33,132.18,175.76,43.58,$46.54
Weekday,"Thursday, 9/05/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,2.81,1.36,$0.20,-1.45,134.99,177.12,42.13,$46.74
Weekday,"Thursday, 9/05/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,3.63,1.62,$0.24,-2.01,138.62,178.74,40.12,$46.98
Weekday,"Thursday, 9/05/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,4.19,1.79,$0.26,-2.4,142.81,180.53,37.72,$47.24
Weekday,"Thursday, 9/05/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,4.41,1.93,$0.28,-2.48,147.22,182.46,35.24,$47.52
Weekday,"Thursday, 9/05/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.33,2.06,$0.30,-2.27,151.55,184.52,32.97,$47.82
Weekday,"Thursday, 9/05/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,3.89,1.88,$0.27,-2.01,155.44,186.4,30.96,$48.09
Weekday,"Thursday, 9/05/2024 - 4:00pm - 5:00pm",Peak,$0.4699,2.84,2.19,$1.03,-0.65,158.28,188.59,30.31,$49.12
Weekday,"Thursday, 9/05/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.74,1.71,$0.80,-0.03,160.02,190.3,30.28,$49.92
Weekday,"Thursday, 9/05/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.37,1.51,$0.71,1.14,160.39,191.81,31.42,$50.63
Weekday,"Thursday, 9/05/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,1.38,$0.65,1.37,160.4,193.19,32.79,$51.28
Weekday,"Thursday, 9/05/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,2.7,$1.27,2.69,160.41,195.89,35.48,$52.55
Weekday,"Thursday, 9/05/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,2.56,$0.37,2.55,160.42,198.45,38.03,$52.92
Weekday,"Thursday, 9/05/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,1.56,$0.23,1.55,160.43,200.01,39.58,$53.15
Weekday,"Thursday, 9/05/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,1.9,$0.28,1.89,160.44,201.91,41.47,$53.42
Weekday,"Friday, 9/06/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0.01,1.97,$0.93,1.96,160.45,203.88,43.43,$54.35
Weekday,"Friday, 9/06/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0.01,1.78,$0.84,1.77,160.46,205.66,45.2,$55.19
Weekday,"Friday, 9/06/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0.01,1.93,$0.91,1.92,160.47,207.59,47.12,$56.09
Weekday,"Friday, 9/06/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0,1.67,$0.78,1.67,160.47,209.26,48.79,$56.88
Weekday,"Friday, 9/06/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0.01,1.65,$0.78,1.64,160.48,210.91,50.43,$57.65
Weekday,"Friday, 9/06/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0.01,1.47,$0.69,1.46,160.49,212.38,51.89,$58.34
Weekday,"Friday, 9/06/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0.02,1.44,$0.21,1.42,160.51,213.82,53.31,$58.55
Weekday,"Friday, 9/06/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0.39,1.45,$0.21,1.06,160.9,215.27,54.37,$58.76
Weekday,"Friday, 9/06/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,1,1.7,$0.25,0.7,161.9,216.97,55.07,$59.01
Weekday,"Friday, 9/06/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,1.72,1.85,$0.27,0.13,163.62,218.82,55.2,$59.28
Weekday,"Friday, 9/06/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,2.86,2.27,$0.33,-0.59,166.48,221.09,54.61,$59.61
Weekday,"Friday, 9/06/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,3.58,2.41,$0.35,-1.17,170.06,223.5,53.44,$59.96
Weekday,"Friday, 9/06/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,4.11,2.19,$0.32,-1.92,174.17,225.69,51.52,$60.28
Weekday,"Friday, 9/06/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,4.42,2.47,$0.36,-1.95,178.59,228.16,49.57,$60.63
Weekday,"Friday, 9/06/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.34,2.83,$0.41,-1.51,182.93,230.99,48.06,$61.05
Weekday,"Friday, 9/06/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,3.42,2.42,$0.35,-1,186.35,233.41,47.06,$61.40
Weekday,"Friday, 9/06/2024 - 4:00pm - 5:00pm",Peak,$0.4699,2.33,2.55,$1.20,0.22,188.68,235.96,47.28,$62.60
Weekday,"Friday, 9/06/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.03,3.44,$1.62,2.41,189.71,239.4,49.69,$64.21
Weekday,"Friday, 9/06/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.35,3.76,$1.77,3.41,190.06,243.16,53.1,$65.98
Weekday,"Friday, 9/06/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,3.2,$1.50,3.19,190.07,246.36,56.29,$67.48
Weekday,"Friday, 9/06/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,2.45,$1.15,2.44,190.08,248.81,58.73,$68.63
Weekday,"Friday, 9/06/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,2.19,$0.32,2.18,190.09,251,60.91,$68.95
Weekday,"Friday, 9/06/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,1.73,$0.25,1.72,190.1,252.73,62.63,$69.20
Weekday,"Friday, 9/06/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,1.59,$0.23,1.58,190.11,254.32,64.21,$69.43
Weekday,"Saturday, 9/07/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0.01,1.47,$0.07,1.46,190.12,255.79,65.67,$69.50
Weekend,"Saturday, 9/07/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0.01,1.29,$0.06,1.28,190.13,257.08,66.95,$69.56
Weekend,"Saturday, 9/07/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0.01,1.21,$0.05,1.2,190.14,258.29,68.15,$69.61
Weekend,"Saturday, 9/07/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0.01,1.52,$0.07,1.51,190.15,259.81,69.66,$69.68
Weekend,"Saturday, 9/07/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0,1.59,$0.07,1.59,190.15,261.4,71.25,$69.75
Weekend,"Saturday, 9/07/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0.01,1.67,$0.08,1.66,190.16,263.07,72.91,$69.83
Weekend,"Saturday, 9/07/2024 - 6:00am - 7:00am",Super Off-Peak,$0.0451,0.02,1.62,$0.07,1.6,190.18,264.69,74.51,$69.90
Weekend,"Saturday, 9/07/2024 - 7:00am - 8:00am",Super Off-Peak,$0.0451,0.37,1.69,$0.08,1.32,190.55,266.38,75.83,$69.98
Weekend,"Saturday, 9/07/2024 - 8:00am - 9:00am",Super Off-Peak,$0.0451,1.21,1.72,$0.08,0.51,191.76,268.1,76.34,$70.05
Weekend,"Saturday, 9/07/2024 - 9:00am - 10:00am",Super Off-Peak,$0.0451,1.63,1.67,$0.08,0.04,193.39,269.77,76.38,$70.13
Weekend,"Saturday, 9/07/2024 - 10:00am - 11:00am",Super Off-Peak,$0.0451,2.5,1.94,$0.09,-0.56,195.89,271.71,75.82,$70.22
Weekend,"Saturday, 9/07/2024 - 11:00am - 12:00pm",Super Off-Peak,$0.0451,3.5,2.15,$0.10,-1.35,199.39,273.86,74.47,$70.31
Weekend,"Saturday, 9/07/2024 - 12:00pm - 1:00pm",Super Off-Peak,$0.0451,4.07,2.21,$0.10,-1.86,203.46,276.07,72.61,$70.41
Weekend,"Saturday, 9/07/2024 - 1:00pm - 2:00pm",Super Off-Peak,$0.0451,4.3,2.82,$0.13,-1.48,207.76,278.89,71.13,$70.54
Weekend,"Saturday, 9/07/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,4.2,2.67,$0.39,-1.53,211.96,281.56,69.6,$70.93
Weekend,"Saturday, 9/07/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,3.75,2.54,$0.37,-1.21,215.71,284.1,68.39,$71.30
Weekend,"Saturday, 9/07/2024 - 4:00pm - 5:00pm",Peak,$0.4699,2.68,2.42,$1.14,-0.26,218.39,286.52,68.13,$72.43
Weekend,"Saturday, 9/07/2024 - 5:00pm - 6:00pm",Peak,$0.4699,1.7,2.54,$1.19,0.84,220.09,289.06,68.97,$73.63
Weekend,"Saturday, 9/07/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0.16,2.87,$1.35,2.71,220.25,291.93,71.68,$74.98
Weekend,"Saturday, 9/07/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0.01,3.51,$1.65,3.5,220.26,295.44,75.18,$76.63
Weekend,"Saturday, 9/07/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0.01,3.4,$1.60,3.39,220.27,298.84,78.57,$78.22
Weekend,"Saturday, 9/07/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0.01,3.8,$0.55,3.79,220.28,302.64,82.36,$78.78
Weekend,"Saturday, 9/07/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0.01,2.91,$0.42,2.9,220.29,305.55,85.26,$79.20
Weekend,"Saturday, 9/07/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0.01,2.81,$0.41,2.8,220.3,308.36,88.06,$79.61
Weekend,"Sunday, 9/08/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0.01,1.61,$0.07,1.6,220.31,309.97,89.66,$79.68
Weekend,"Sunday, 9/08/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0.01,1.34,$0.06,1.33,220.32,311.31,90.99,$79.74
Weekend,"Sunday, 9/08/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0.01,2,$0.09,1.99,220.33,313.31,92.98,$79.83
Weekend,"Sunday, 9/08/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0.01,1.76,$0.08,1.75,220.34,315.07,94.73,$79.91
